"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Hunterdon County, NJ"	"34019"	Suppressed	627540	Suppressed	Suppressed
	"Mercer County, NJ"	"34021"	143	1859105	7.6919	0.1613%
	"Middlesex County, NJ"	"34023"	72	4185987	1.7200	0.0812%
	"Monmouth County, NJ"	"34025"	53	3139863	1.6880	0.0598%
	"Morris County, NJ"	"34027"	17	2496749	Unreliable	0.0192%
	"Ocean County, NJ"	"34029"	38	2948876	1.2886	0.0429%
	"Passaic County, NJ"	"34031"	116	2545996	4.5562	0.1308%
	"Salem County, NJ"	"34033"	18	320289	Unreliable	0.0203%
	"Somerset County, NJ"	"34035"	27	1665990	1.6207	0.0305%
	"Sussex County, NJ"	"34037"	Suppressed	718778	Suppressed	Suppressed
	"Union County, NJ"	"34039"	121	2776503	4.3580	0.1365%
	"Warren County, NJ"	"34041"	Suppressed	534580	Suppressed	Suppressed
	"Bernalillo County, NM"	"35001"	286	3380183	8.4611	0.3226%
	"Catron County, NM"	"35003"	Suppressed	17714	Suppressed	Suppressed
	"Chaves County, NM"	"35005"	49	327613	14.9567	0.0553%
	"Cibola County, NM"	"35006"	11	136353	Unreliable	0.0124%
	"Colfax County, NM"	"35007"	10	62615	Unreliable	0.0113%
	"Curry County, NM"	"35009"	20	252057	7.9347	0.0226%
	"DeBaca County, NM"	"35011"	Suppressed	9182	Suppressed	Suppressed
	"Dona Ana County, NM"	"35013"	44	1071217	4.1075	0.0496%
	"Eddy County, NM"	"35015"	20	284062	7.0407	0.0226%
	"Grant County, NM"	"35017"	14	143000	Unreliable	0.0158%
	"Guadalupe County, NM"	"35019"	Suppressed	22195	Suppressed	Suppressed
	"Harding County, NM"	"35021"	Suppressed	3431	Suppressed	Suppressed
	"Hidalgo County, NM"	"35023"	Suppressed	22244	Suppressed	Suppressed
	"Lea County, NM"	"35025"	26	347749	7.4767	0.0293%
	"Lincoln County, NM"	"35027"	Suppressed	98055	Suppressed	Suppressed
	"Los Alamos County, NM"	"35028"	Suppressed	90150	Suppressed	Suppressed
	"Luna County, NM"	"35029"	Suppressed	122378	Suppressed	Suppressed
	"McKinley County, NM"	"35031"	53	371601	14.2626	0.0598%
