"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8689	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	1157	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6888	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9278	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	8202	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	2521	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	605	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5365	Suppressed
	"Apache County, AZ"	"04001"	12	71606	Unreliable
	"Cochise County, AZ"	"04003"	Suppressed	124756	Suppressed
	"Coconino County, AZ"	"04005"	13	140776	Unreliable
	"Gila County, AZ"	"04007"	Suppressed	53501	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	37466	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	9455	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20601	Suppressed
	"Maricopa County, AZ"	"04013"	265	4307033	6.1527
	"Mohave County, AZ"	"04015"	Suppressed	207200	Suppressed
	"Navajo County, AZ"	"04017"	16	108956	Unreliable
	"Pima County, AZ"	"04019"	76	1022769	7.4308
	"Pinal County, AZ"	"04021"	29	430237	6.7405
	"Santa Cruz County, AZ"	"04023"	Suppressed	46212	Suppressed
	"Yavapai County, AZ"	"04025"	Suppressed	228168	Suppressed
	"Yuma County, AZ"	"04027"	Suppressed	207534	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	17967	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	20283	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	41355	Suppressed
	"Benton County, AR"	"05007"	Suppressed	266300	Suppressed
	"Boone County, AR"	"05009"	Suppressed	37381	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	10864	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5247	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27944	Suppressed
